id,nome,grupo_primario,grupos_secundarios,padrao_movimento,equipamento,incremento_kg,unilateral,medida,comum,nivel
28,Rosca de punho,bíceps,,isolamento de antebraço,halter,2.0,False,reps,2,intermediário
29,Rosca de punho inversa,bíceps,,isolamento de antebraço,halter,2.0,False,reps,2,intermediário
30,Wrist Roller,bíceps,,isolamento de antebraço,anilha,2.5,False,reps,3,avançado
31,Rosca 21,bíceps,,isolamento de braço,barra,2.5,False,reps,3,avançado
32,Rosca Bayesian,bíceps,,isolamento de braço,polia,2.5,True,reps,3,avançado
33,Rosca Drag,bíceps,,isolamento de braço,barra,2.5,False,reps,3,avançado
34,Rosca Scott unilateral,bíceps,,isolamento de braço,halter,2.0,True,reps,2,intermediário
35,Rosca Spider,bíceps,,isolamento de braço,halter,2.0,False,reps,3,avançado
36,Rosca alternada com halteres,bíceps,,isolamento de braço,halter,2.0,True,reps,1,básico
37,Rosca concentrada,bíceps,,isolamento de braço,halter,2.0,True,reps,2,intermediário
38,Rosca direta com barra,bíceps,,isolamento de braço,barra,2.5,False,reps,1,básico
39,Rosca direta com barra W,bíceps,,isolamento de braço,barra,2.5,False,reps,2,intermediário
40,Rosca inversa,bíceps,,isolamento de braço,barra,2.5,False,reps,2,intermediário
41,Rosca martelo,bíceps,,isolamento de braço,halter,2.0,True,reps,1,básico
42,Rosca na polia baixa,bíceps,,isolamento de braço,polia,2.5,False,reps,1,básico
43,Rosca scott,bíceps,,isolamento de braço,barra,2.5,False,reps,1,básico
44,Rack Pull,costas,posterior;glúteo,dominante de quadril,barra,2.5,False,reps,3,avançado
45,Pull-over máquina,costas,,isolamento de costas,máquina,5.0,False,reps,3,avançado
46,Pullover com halter,costas,peito,isolamento de costas,halter,2.0,False,reps,2,intermediário
47,Pullover na polia alta,costas,,isolamento de costas,polia,2.5,False,reps,2,intermediário
48,Remada Meadows,costas,bíceps,puxar horizontal,barra,2.5,True,reps,3,avançado
49,Remada T-Bar,costas,bíceps,puxar horizontal,barra,2.5,False,reps,2,intermediário
50,Remada baixa na polia,costas,bíceps,puxar horizontal,polia,2.5,False,reps,1,básico
51,Remada cavalinho,costas,bíceps,puxar horizontal,barra,2.5,False,reps,3,avançado
52,Remada curvada com barra,costas,bíceps,puxar horizontal,barra,2.5,False,reps,1,básico
53,Remada curvada pronada,costas,bíceps,puxar horizontal,barra,2.5,False,reps,2,intermediário
54,Remada máquina,costas,bíceps,puxar horizontal,máquina,5.0,False,reps,1,básico
55,Remada serrote com halter,costas,bíceps,puxar horizontal,halter,2.0,True,reps,1,básico
56,Remada unilateral na polia,costas,bíceps,puxar horizontal,polia,2.5,True,reps,2,intermediário
57,Barra fixa pronada,costas,bíceps,puxar vertical,peso corporal,,False,reps,1,básico
58,Barra fixa supinada,costas,bíceps,puxar vertical,peso corporal,,False,reps,2,intermediário
59,Pulldown unilateral,costas,bíceps,puxar vertical,polia,2.5,True,reps,2,intermediário
60,Puxada com pegada neutra,costas,bíceps,puxar vertical,polia,2.5,False,reps,2,intermediário
61,Puxada com triângulo,costas,bíceps,puxar vertical,polia,2.5,False,reps,1,básico
62,Puxada frontal na polia,costas,bíceps,puxar vertical,polia,2.5,False,reps,1,básico
63,Puxada supinada na polia,costas,bíceps,puxar vertical,polia,2.5,False,reps,2,intermediário
64,Cable Pull Through,glúteo,posterior,dominante de quadril,polia,2.5,False,reps,3,avançado
65,Elevação pélvica com barra,glúteo,posterior,dominante de quadril,barra,2.5,False,reps,1,básico
66,Elevação pélvica na máquina,glúteo,posterior,dominante de quadril,máquina,5.0,False,reps,1,básico
67,Frog Pump,glúteo,posterior,dominante de quadril,halter,2.0,False,reps,3,avançado
68,Hip Thrust unilateral,glúteo,posterior,dominante de quadril,halter,2.0,True,reps,2,intermediário
69,Ponte de glúteo,glúteo,posterior,dominante de quadril,peso corporal,,False,reps,1,básico
70,Reverse Hyper,glúteo,posterior,dominante de quadril,máquina,5.0,False,reps,3,avançado
71,Coice na máquina,glúteo,,isolamento de perna,máquina,5.0,True,reps,2,intermediário
72,Coice na polia,glúteo,,isolamento de perna,polia,2.5,True,reps,1,básico
73,Bird Dog,lombar,abdômen,antiextensão,peso corporal,,False,reps,2,intermediário
74,Hiperextensão com anilha,lombar,glúteo;posterior,extensão de tronco,anilha,2.5,False,reps,2,intermediário
75,Hiperextensão lombar,lombar,glúteo;posterior,extensão de tronco,peso corporal,,False,reps,1,básico
76,Jefferson Curl,lombar,posterior,extensão de tronco,halter,2.0,False,reps,3,avançado
77,Superman no solo,lombar,,extensão de tronco,peso corporal,,False,reps,2,intermediário
78,Desenvolvimento Arnold,ombro,tríceps,empurrar vertical,halter,2.0,False,reps,2,intermediário
79,Desenvolvimento Smith,ombro,tríceps,empurrar vertical,máquina,5.0,False,reps,2,intermediário
80,Desenvolvimento com halteres,ombro,tríceps,empurrar vertical,halter,2.0,False,reps,1,básico
81,Desenvolvimento militar com barra,ombro,tríceps,empurrar vertical,barra,2.5,False,reps,1,básico
82,Desenvolvimento máquina,ombro,tríceps,empurrar vertical,máquina,5.0,False,reps,1,básico
83,Crucifixo inverso com halteres,ombro,costas,isolamento de ombro,halter,2.0,False,reps,1,básico
84,Crucifixo inverso na máquina,ombro,costas,isolamento de ombro,máquina,5.0,False,reps,1,básico
85,Crucifixo inverso polia,ombro,costas,isolamento de ombro,polia,2.5,True,reps,2,intermediário
86,Cuban Press,ombro,,isolamento de ombro,halter,2.0,False,reps,3,avançado
87,Elevação Y,ombro,,isolamento de ombro,halter,2.0,False,reps,3,avançado
88,Elevação frontal com anilha,ombro,,isolamento de ombro,anilha,2.5,False,reps,2,intermediário
89,Elevação frontal com halteres,ombro,,isolamento de ombro,halter,2.0,False,reps,1,básico
90,Elevação lateral com halteres,ombro,,isolamento de ombro,halter,2.0,False,reps,1,básico
91,Elevação lateral na máquina,ombro,,isolamento de ombro,máquina,5.0,False,reps,1,básico
92,Elevação lateral na polia,ombro,,isolamento de ombro,polia,2.5,True,reps,2,intermediário
93,Encolhimento com barra,ombro,,isolamento de ombro,barra,2.5,False,reps,2,intermediário
94,Encolhimento com halteres,ombro,,isolamento de ombro,halter,2.0,False,reps,1,básico
95,Face pull na polia,ombro,costas,isolamento de ombro,polia,2.5,False,reps,1,básico
96,High Pull,ombro,costas,isolamento de ombro,barra,2.5,False,reps,3,avançado
97,Remada alta com barra,ombro,costas,isolamento de ombro,barra,2.5,False,reps,1,básico
98,Donkey Calf Raise,panturrilha,,panturrilha,máquina,5.0,False,reps,3,avançado
99,Panturrilha Smith,panturrilha,,panturrilha,máquina,5.0,False,reps,2,intermediário
100,Panturrilha em pé na máquina,panturrilha,,panturrilha,máquina,5.0,False,reps,1,básico
101,Panturrilha no leg press,panturrilha,,panturrilha,máquina,5.0,False,reps,2,intermediário
102,Panturrilha sentado na máquina,panturrilha,,panturrilha,máquina,5.0,False,reps,1,básico
103,Panturrilha sentado unilateral,panturrilha,,panturrilha,máquina,5.0,True,reps,2,intermediário
104,Panturrilha unilateral com halter,panturrilha,,panturrilha,halter,2.0,True,reps,2,intermediário
105,Tibial Raise,panturrilha,,panturrilha,peso corporal,,False,reps,3,avançado
106,Chest Press convergente,peito,tríceps;ombro,empurrar horizontal,máquina,5.0,False,reps,2,intermediário
107,Flexão de braço,peito,tríceps;ombro,empurrar horizontal,peso corporal,,False,reps,1,básico
108,Paralelas,peito,tríceps,empurrar horizontal,peso corporal,,False,reps,2,intermediário
109,Supino declinado com barra,peito,tríceps,empurrar horizontal,barra,2.5,False,reps,2,intermediário
110,Supino inclinado com barra,peito,ombro;tríceps,empurrar horizontal,barra,2.5,False,reps,1,básico
111,Supino inclinado com halteres,peito,ombro;tríceps,empurrar horizontal,halter,2.0,False,reps,1,básico
112,Supino máquina,peito,tríceps;ombro,empurrar horizontal,máquina,5.0,False,reps,1,básico
113,Supino pegada neutra,peito,tríceps;ombro,empurrar horizontal,halter,2.0,False,reps,2,intermediário
114,Supino reto com barra,peito,tríceps;ombro,empurrar horizontal,barra,2.5,False,reps,1,básico
115,Supino reto com halteres,peito,tríceps;ombro,empurrar horizontal,halter,2.0,False,reps,1,básico
116,Crossover baixo para cima,peito,,isolamento de peito,polia,2.5,False,reps,2,intermediário
117,Crossover cima para baixo,peito,,isolamento de peito,polia,2.5,False,reps,2,intermediário
118,Crossover na polia,peito,,isolamento de peito,polia,2.5,False,reps,1,básico
119,Crucifixo com halteres,peito,,isolamento de peito,halter,2.0,False,reps,1,básico
120,Crucifixo inclinado com halteres,peito,,isolamento de peito,halter,2.0,False,reps,2,intermediário
121,Svend Press,peito,,isolamento de peito,anilha,2.5,False,reps,3,avançado
122,Voador (peck deck),peito,,isolamento de peito,máquina,5.0,False,reps,1,básico
123,Bom dia com barra,posterior,glúteo;lombar,dominante de quadril,barra,2.5,False,reps,3,avançado
124,Good Morning Smith,posterior,glúteo;lombar,dominante de quadril,máquina,5.0,False,reps,3,avançado
125,Levantamento terra,posterior,glúteo;costas,dominante de quadril,barra,2.5,False,reps,1,básico
126,Levantamento terra romeno,posterior,glúteo,dominante de quadril,barra,2.5,False,reps,1,básico
127,Levantamento terra sumô,posterior,glúteo;quadríceps,dominante de quadril,barra,2.5,False,reps,3,avançado
128,Stiff com halteres,posterior,glúteo,dominante de quadril,halter,2.0,False,reps,1,básico
129,Cadeira flexora,posterior,,isolamento de perna,máquina,5.0,False,reps,1,básico
130,Flexora unilateral em pé,posterior,,isolamento de perna,máquina,5.0,True,reps,2,intermediário
131,Glute Ham Raise,posterior,glúteo,isolamento de perna,peso corporal,,False,reps,3,avançado
132,Mesa flexora,posterior,,isolamento de perna,máquina,5.0,False,reps,1,básico
133,Nordic Curl,posterior,,isolamento de perna,peso corporal,,False,reps,3,avançado
134,Agachamento frontal,quadríceps,glúteo,dominante de joelho,barra,2.5,False,reps,2,intermediário
135,Agachamento goblet,quadríceps,glúteo,dominante de joelho,halter,2.0,False,reps,1,básico
136,Agachamento livre,quadríceps,glúteo;posterior,dominante de joelho,barra,2.5,False,reps,1,básico
137,Agachamento no Smith,quadríceps,glúteo,dominante de joelho,máquina,5.0,False,reps,1,básico
138,Agachamento sumô com halter,quadríceps,glúteo,dominante de joelho,halter,2.0,False,reps,2,intermediário
139,Belt Squat,quadríceps,glúteo,dominante de joelho,máquina,5.0,False,reps,3,avançado
140,Hack machine,quadríceps,glúteo,dominante de joelho,máquina,5.0,False,reps,1,básico
141,Landmine Squat,quadríceps,glúteo,dominante de joelho,barra,2.5,False,reps,3,avançado
142,Leg press 45,quadríceps,glúteo,dominante de joelho,máquina,5.0,False,reps,1,básico
143,Sissy Squat,quadríceps,,dominante de joelho,peso corporal,,False,reps,3,avançado
144,Spanish Squat,quadríceps,,dominante de joelho,peso corporal,,False,reps,3,avançado
145,Cadeira extensora,quadríceps,,isolamento de perna,máquina,5.0,False,reps,1,básico
146,Extensora unilateral,quadríceps,,isolamento de perna,máquina,5.0,True,reps,2,intermediário
147,Afundo com halteres,quadríceps,glúteo,unilateral,halter,2.0,True,reps,1,básico
148,Agachamento búlgaro,quadríceps,glúteo,unilateral,halter,2.0,True,reps,2,intermediário
149,Avanço no Smith,quadríceps,glúteo,unilateral,máquina,5.0,True,reps,2,intermediário
150,Passada,quadríceps,glúteo,unilateral,halter,2.0,True,reps,2,intermediário
151,Step-up no banco,quadríceps,glúteo,unilateral,halter,2.0,True,reps,2,intermediário
152,Supino fechado,tríceps,peito,empurrar horizontal,barra,2.5,False,reps,2,intermediário
153,Extensão acima cabeça polia,tríceps,,isolamento de braço,polia,2.5,False,reps,2,intermediário
154,JM Press,tríceps,peito,isolamento de braço,barra,2.5,False,reps,3,avançado
155,Kickback polia,tríceps,,isolamento de braço,polia,2.5,True,reps,2,intermediário
156,Mergulho no banco,tríceps,,isolamento de braço,peso corporal,,False,reps,2,intermediário
157,Tríceps coice,tríceps,,isolamento de braço,halter,2.0,True,reps,2,intermediário
158,Tríceps francês com halter,tríceps,,isolamento de braço,halter,2.0,False,reps,2,intermediário
159,Tríceps máquina,tríceps,,isolamento de braço,máquina,5.0,False,reps,2,intermediário
160,Tríceps na polia com barra,tríceps,,isolamento de braço,polia,2.5,False,reps,1,básico
161,Tríceps na polia com corda,tríceps,,isolamento de braço,polia,2.5,False,reps,1,básico
162,Tríceps testa com barra W,tríceps,,isolamento de braço,barra,2.5,False,reps,1,básico
163,Tríceps unilateral polia,tríceps,,isolamento de braço,polia,2.5,True,reps,2,intermediário
