id,nome,grupo_primario,grupos_secundarios,padrao_movimento,equipamento,unilateral,comum,nivel,cadeia,perfil_sugerido,foco,complexidade_tecnica
97,Remada alta com barra,ombro,costas,isolamento de ombro,barra,False,1,Básico,Cadeia Aberta,Ombro,Ombro,Média
106,Chest Press convergente,peito,tríceps;ombro,empurrar horizontal,máquina,False,2,Intermediário,Cadeia Fechada,Peito/Tríceps,Peitoral,Média
107,Flexão de braço,peito,tríceps;ombro,empurrar horizontal,peso corporal,False,1,Básico,Cadeia Fechada,Base Universal | Peito/Tríceps,Peitoral,Média (controle corporal)
108,Paralelas,peito,tríceps,empurrar horizontal,peso corporal,False,2,Intermediário,Cadeia Fechada,Peito/Tríceps,Peitoral,Média (controle corporal)
109,Supino declinado com barra,peito,tríceps,empurrar horizontal,barra,False,2,Intermediário,Cadeia Fechada,Peito/Tríceps,Peitoral,Alta (técnica de barra)
110,Supino inclinado com barra,peito,ombro;tríceps,empurrar horizontal,barra,False,1,Básico,Cadeia Fechada,Base Universal | Peito/Tríceps,Peitoral,Alta (técnica de barra)
111,Supino inclinado com halteres,peito,ombro;tríceps,empurrar horizontal,halter,False,1,Básico,Cadeia Fechada,Base Universal | Peito/Tríceps,Peitoral,Média
112,Supino máquina,peito,tríceps;ombro,empurrar horizontal,máquina,False,1,Básico,Cadeia Fechada,Base Universal | Peito/Tríceps,Peitoral,Média
113,Supino pegada neutra,peito,tríceps;ombro,empurrar horizontal,halter,False,2,Intermediário,Cadeia Fechada,Peito/Tríceps,Peitoral,Média
114,Supino reto com barra,peito,tríceps;ombro,empurrar horizontal,barra,False,1,Básico,Cadeia Fechada,Base Universal | Peito/Tríceps,Peitoral,Alta (técnica de barra)
115,Supino reto com halteres,peito,tríceps;ombro,empurrar horizontal,halter,False,1,Básico,Cadeia Fechada,Base Universal | Peito/Tríceps,Peitoral,Média
116,Crossover baixo para cima,peito,,isolamento de peito,polia,False,2,Intermediário,Cadeia Aberta,Peito/Tríceps | Isolamento Específico,Peitoral,Baixa (guiado)
117,Crossover cima para baixo,peito,,isolamento de peito,polia,False,2,Intermediário,Cadeia Aberta,Peito/Tríceps | Isolamento Específico,Peitoral,Baixa (guiado)
118,Crossover na polia,peito,,isolamento de peito,polia,False,1,Básico,Cadeia Aberta,Peito/Tríceps | Isolamento Específico,Peitoral,Baixa (guiado)
119,Crucifixo com halteres,peito,,isolamento de peito,halter,False,1,Básico,Cadeia Aberta,Peito/Tríceps,Peitoral,Média
120,Crucifixo inclinado com halteres,peito,,isolamento de peito,halter,False,2,Intermediário,Cadeia Aberta,Peito/Tríceps,Peitoral,Média
121,Svend Press,peito,,isolamento de peito,anilha,False,3,Avançado,Cadeia Aberta,Peito/Tríceps,Peitoral,Média
122,Voador (peck deck),peito,,isolamento de peito,máquina,False,1,Básico,Cadeia Aberta,Peito/Tríceps | Isolamento Específico,Peitoral,Baixa (guiado)
152,Supino fechado,tríceps,peito,empurrar horizontal,barra,False,2,Intermediário,Cadeia Fechada,Peito/Tríceps,Peitoral,Alta (técnica de barra)
153,Extensão acima cabeça polia,tríceps,,isolamento de braço,polia,False,2,Intermediário,Cadeia Aberta,Peito/Tríceps | Isolamento Específico,Tríceps,Baixa (guiado)
154,JM Press,tríceps,peito,isolamento de braço,barra,False,3,Avançado,Cadeia Aberta,Peito/Tríceps,Tríceps,Média
155,Kickback polia,tríceps,,isolamento de braço,polia,True,2,Intermediário,Cadeia Aberta,Peito/Tríceps | Isolamento Específico,Tríceps,Média-Alta (equilíbrio)
156,Mergulho no banco,tríceps,,isolamento de braço,peso corporal,False,2,Intermediário,Cadeia Aberta,Peito/Tríceps,Tríceps,Média (controle corporal)
157,Tríceps coice,tríceps,,isolamento de braço,halter,True,2,Intermediário,Cadeia Aberta,Peito/Tríceps,Tríceps,Média-Alta (equilíbrio)
158,Tríceps francês com halter,tríceps,,isolamento de braço,halter,False,2,Intermediário,Cadeia Aberta,Peito/Tríceps,Tríceps,Média
159,Tríceps máquina,tríceps,,isolamento de braço,máquina,False,2,Intermediário,Cadeia Aberta,Peito/Tríceps | Isolamento Específico,Tríceps,Baixa (guiado)
160,Tríceps na polia com barra,tríceps,,isolamento de braço,polia,False,1,Básico,Cadeia Aberta,Peito/Tríceps | Isolamento Específico,Tríceps,Baixa (guiado)
161,Tríceps na polia com corda,tríceps,,isolamento de braço,polia,False,1,Básico,Cadeia Aberta,Peito/Tríceps | Isolamento Específico,Tríceps,Baixa (guiado)
162,Tríceps testa com barra W,tríceps,,isolamento de braço,barra,False,1,Básico,Cadeia Aberta,Peito/Tríceps,Tríceps,Média
163,Tríceps unilateral polia,tríceps,,isolamento de braço,polia,True,2,Intermediário,Cadeia Aberta,Peito/Tríceps | Isolamento Específico,Tríceps,Média-Alta (equilíbrio)
