aluno,idade,sexo,objetivo,nivel_efetivo,split,dia,exercicio,grupo,equipamento,series,reps,descanso,rpe,perfil_exercicio,foco
aluno_2_carlos_intermediario_forca,,masculino,forca,intermediario,ABCD (Upper/Lower/Upper/Lower),Dia C - Superior 2,Desenvolvimento com halteres,ombro,halter,5,3-6,2-3min,9-10,Base Universal | Peito/Tríceps | Ombro,Ombro
aluno_2_carlos_intermediario_forca,,masculino,forca,intermediario,ABCD (Upper/Lower/Upper/Lower),Dia D - Inferior 2,Elevação pélvica com barra,glúteo,barra,5,3-6,2-3min,9-10,Base Universal | Glúteo/Posterior | Força Máxima,Posterior / Quadril
aluno_2_carlos_intermediario_forca,,masculino,forca,intermediario,ABCD (Upper/Lower/Upper/Lower),Dia D - Inferior 2,Elevação pélvica na máquina,glúteo,máquina,5,3-6,2-3min,9-10,Base Universal | Glúteo/Posterior,Posterior / Quadril
aluno_2_carlos_intermediario_forca,,masculino,forca,intermediario,ABCD (Upper/Lower/Upper/Lower),Dia D - Inferior 2,Levantamento terra,posterior,barra,5,3-6,2-3min,9-10,Base Universal | Glúteo/Posterior | Força Máxima,Posterior / Quadril
aluno_2_carlos_intermediario_forca,,masculino,forca,intermediario,ABCD (Upper/Lower/Upper/Lower),Dia D - Inferior 2,Levantamento terra romeno,posterior,barra,5,3-6,2-3min,9-10,Base Universal | Glúteo/Posterior | Força Máxima,Posterior / Quadril
aluno_2_carlos_intermediario_forca,,masculino,forca,intermediario,ABCD (Upper/Lower/Upper/Lower),Dia D - Inferior 2,Agachamento frontal,quadríceps,barra,5,3-6,2-3min,9-10,Força Máxima,Frente da Coxa / Joelho
aluno_2_carlos_intermediario_forca,,masculino,forca,intermediario,ABCD (Upper/Lower/Upper/Lower),Dia D - Inferior 2,Agachamento livre,quadríceps,barra,5,3-6,2-3min,9-10,Base Universal | Força Máxima,Frente da Coxa / Joelho
aluno_2_carlos_intermediario_forca,,masculino,forca,intermediario,ABCD (Upper/Lower/Upper/Lower),Dia D - Inferior 2,Stiff com halteres,posterior,halter,5,3-6,2-3min,9-10,Base Universal | Glúteo/Posterior,Posterior / Quadril
aluno_3_mariana_reabilitacao_joelho,,feminino,reabilitacao,iniciante,Full Body (3x),Dia A - Push (Peito/Ombro/Tríceps),Desenvolvimento com halteres,ombro,halter,2,12-15,60s,5-6,Base Universal | Peito/Tríceps | Ombro,Ombro
aluno_3_mariana_reabilitacao_joelho,,feminino,reabilitacao,iniciante,Full Body (3x),Dia A - Push (Peito/Ombro/Tríceps),Desenvolvimento militar com barra,ombro,barra,2,12-15,60s,5-6,Base Universal | Peito/Tríceps | Ombro,Ombro
aluno_3_mariana_reabilitacao_joelho,,feminino,reabilitacao,iniciante,Full Body (3x),Dia A - Push (Peito/Ombro/Tríceps),Desenvolvimento máquina,ombro,máquina,2,12-15,60s,5-6,Base Universal | Peito/Tríceps | Ombro,Ombro
aluno_3_mariana_reabilitacao_joelho,,feminino,reabilitacao,iniciante,Full Body (3x),Dia A - Push (Peito/Ombro/Tríceps),Flexão de braço,peito,peso corporal,2,12-15,60s,5-6,Base Universal | Peito/Tríceps,Peitoral
aluno_3_mariana_reabilitacao_joelho,,feminino,reabilitacao,iniciante,Full Body (3x),Dia A - Push (Peito/Ombro/Tríceps),Crucifixo inverso na máquina,ombro,máquina,2,12-15,60s,5-6,Ombro | Isolamento Específico,Ombro
aluno_3_mariana_reabilitacao_joelho,,feminino,reabilitacao,iniciante,Full Body (3x),Dia A - Push (Peito/Ombro/Tríceps),Elevação lateral na máquina,ombro,máquina,2,12-15,60s,5-6,Ombro | Isolamento Específico,Ombro
aluno_3_mariana_reabilitacao_joelho,,feminino,reabilitacao,iniciante,Full Body (3x),Dia B - Pull (Costas/Bíceps/Core),Prancha isométrica,abdômen,peso corporal,3,15-20,30-45s,5-6,Base Universal | Core/Estabilidade,Abdômen
aluno_3_mariana_reabilitacao_joelho,,feminino,reabilitacao,iniciante,Full Body (3x),Dia B - Pull (Costas/Bíceps/Core),Remada curvada com barra,costas,barra,2,12-15,60s,5-6,Base Universal | Costas/Bíceps,Costas
aluno_3_mariana_reabilitacao_joelho,,feminino,reabilitacao,iniciante,Full Body (3x),Dia B - Pull (Costas/Bíceps/Core),Abdominal na máquina,abdômen,máquina,2,12-15,60s,5-6,Core/Estabilidade,Abdômen
aluno_3_mariana_reabilitacao_joelho,,feminino,reabilitacao,iniciante,Full Body (3x),Dia B - Pull (Costas/Bíceps/Core),Abdominal na polia alta,abdômen,polia,2,12-15,60s,5-6,Core/Estabilidade,Abdômen
aluno_3_mariana_reabilitacao_joelho,,feminino,reabilitacao,iniciante,Full Body (3x),Dia B - Pull (Costas/Bíceps/Core),Abdominal supra no solo,abdômen,peso corporal,2,12-15,60s,5-6,Core/Estabilidade,Abdômen
aluno_3_mariana_reabilitacao_joelho,,feminino,reabilitacao,iniciante,Full Body (3x),Dia B - Pull (Costas/Bíceps/Core),Elevação de pernas suspenso,abdômen,peso corporal,2,12-15,60s,5-6,Core/Estabilidade,Abdômen
aluno_3_mariana_reabilitacao_joelho,,feminino,reabilitacao,iniciante,Full Body (3x),Dia C - Legs (Inferiores),Elevação pélvica com barra,glúteo,barra,2,12-15,60s,5-6,Base Universal | Glúteo/Posterior | Força Máxima,Posterior / Quadril
aluno_3_mariana_reabilitacao_joelho,,feminino,reabilitacao,iniciante,Full Body (3x),Dia C - Legs (Inferiores),Elevação pélvica na máquina,glúteo,máquina,2,12-15,60s,5-6,Base Universal | Glúteo/Posterior,Posterior / Quadril
aluno_3_mariana_reabilitacao_joelho,,feminino,reabilitacao,iniciante,Full Body (3x),Dia C - Legs (Inferiores),Coice na polia,glúteo,polia,2,12-15,60s,5-6,Glúteo/Posterior | Estabilidade/Prevenção,Glúteo
aluno_3_mariana_reabilitacao_joelho,,feminino,reabilitacao,iniciante,Full Body (3x),Dia C - Legs (Inferiores),Afundo com halteres,quadríceps,halter,2,12-15,60s,5-6,Base Universal | Estabilidade/Prevenção,Frente da Coxa / Joelho
aluno_3_mariana_reabilitacao_joelho,,feminino,reabilitacao,iniciante,Full Body (3x),Dia C - Legs (Inferiores),Levantamento terra,posterior,barra,2,12-15,60s,5-6,Base Universal | Glúteo/Posterior | Força Máxima,Posterior / Quadril
aluno_3_mariana_reabilitacao_joelho,,feminino,reabilitacao,iniciante,Full Body (3x),Dia C - Legs (Inferiores),Levantamento terra romeno,posterior,barra,2,12-15,60s,5-6,Base Universal | Glúteo/Posterior | Força Máxima,Posterior / Quadril
aluno_3_mariana_reabilitacao_joelho,,feminino,reabilitacao,iniciante,Full Body (3x),Dia C - Legs (Inferiores),Abdução na máquina,abdutores,máquina,2,12-15,60s,5-6,Isolamento Específico,Lateral do Quadril
aluno_4_pedro_emagrecimento_homegym,,masculino,emagrecimento,iniciante,Full Body (3x),Dia A - Push (Peito/Ombro/Tríceps),Desenvolvimento com halteres,ombro,halter,3,12-15,30-60s,7-8,Base Universal | Peito/Tríceps | Ombro,Ombro
aluno_4_pedro_emagrecimento_homegym,,masculino,emagrecimento,iniciante,Full Body (3x),Dia A - Push (Peito/Ombro/Tríceps),Desenvolvimento militar com barra,ombro,barra,3,12-15,30-60s,7-8,Base Universal | Peito/Tríceps | Ombro,Ombro
aluno_4_pedro_emagrecimento_homegym,,masculino,emagrecimento,iniciante,Full Body (3x),Dia A - Push (Peito/Ombro/Tríceps),Flexão de braço,peito,peso corporal,3,12-15,30-60s,7-8,Base Universal | Peito/Tríceps,Peitoral
aluno_4_pedro_emagrecimento_homegym,,masculino,emagrecimento,iniciante,Full Body (3x),Dia A - Push (Peito/Ombro/Tríceps),Supino inclinado com barra,peito,barra,3,12-15,30-60s,7-8,Base Universal | Peito/Tríceps,Peitoral
aluno_4_pedro_emagrecimento_homegym,,masculino,emagrecimento,iniciante,Full Body (3x),Dia A - Push (Peito/Ombro/Tríceps),Supino inclinado com halteres,peito,halter,3,12-15,30-60s,7-8,Base Universal | Peito/Tríceps,Peitoral
aluno_4_pedro_emagrecimento_homegym,,masculino,emagrecimento,iniciante,Full Body (3x),Dia A - Push (Peito/Ombro/Tríceps),Supino reto com barra,peito,barra,3,12-15,30-60s,7-8,Base Universal | Peito/Tríceps,Peitoral
aluno_4_pedro_emagrecimento_homegym,,masculino,emagrecimento,iniciante,Full Body (3x),Dia B - Pull (Costas/Bíceps/Core),Prancha isométrica,abdômen,peso corporal,3,15-20,30-45s,7-8,Base Universal | Core/Estabilidade,Abdômen
aluno_4_pedro_emagrecimento_homegym,,masculino,emagrecimento,iniciante,Full Body (3x),Dia B - Pull (Costas/Bíceps/Core),Remada curvada com barra,costas,barra,3,12-15,30-60s,7-8,Base Universal | Costas/Bíceps,Costas
aluno_4_pedro_emagrecimento_homegym,,masculino,emagrecimento,iniciante,Full Body (3x),Dia B - Pull (Costas/Bíceps/Core),Remada serrote com halter,costas,halter,3,12-15,30-60s,7-8,Base Universal | Costas/Bíceps,Costas
aluno_4_pedro_emagrecimento_homegym,,masculino,emagrecimento,iniciante,Full Body (3x),Dia B - Pull (Costas/Bíceps/Core),Barra fixa pronada,costas,peso corporal,3,12-15,30-60s,7-8,Base Universal | Costas/Bíceps,Costas
aluno_4_pedro_emagrecimento_homegym,,masculino,emagrecimento,iniciante,Full Body (3x),Dia B - Pull (Costas/Bíceps/Core),Rosca alternada com halteres,bíceps,halter,2,12-15,30-60s,7-8,Costas/Bíceps,Bíceps/Antebraço
aluno_4_pedro_emagrecimento_homegym,,masculino,emagrecimento,iniciante,Full Body (3x),Dia B - Pull (Costas/Bíceps/Core),Rosca direta com barra,bíceps,barra,2,12-15,30-60s,7-8,Costas/Bíceps,Bíceps/Antebraço
aluno_4_pedro_emagrecimento_homegym,,masculino,emagrecimento,iniciante,Full Body (3x),Dia C - Legs (Inferiores),Elevação pélvica com barra,glúteo,barra,3,12-15,30-60s,7-8,Base Universal | Glúteo/Posterior | Força Máxima,Posterior / Quadril
aluno_4_pedro_emagrecimento_homegym,,masculino,emagrecimento,iniciante,Full Body (3x),Dia C - Legs (Inferiores),Levantamento terra,posterior,barra,3,12-15,30-60s,7-8,Base Universal | Glúteo/Posterior | Força Máxima,Posterior / Quadril
aluno_4_pedro_emagrecimento_homegym,,masculino,emagrecimento,iniciante,Full Body (3x),Dia C - Legs (Inferiores),Levantamento terra romeno,posterior,barra,3,12-15,30-60s,7-8,Base Universal | Glúteo/Posterior | Força Máxima,Posterior / Quadril
aluno_4_pedro_emagrecimento_homegym,,masculino,emagrecimento,iniciante,Full Body (3x),Dia C - Legs (Inferiores),Stiff com halteres,posterior,halter,3,12-15,30-60s,7-8,Base Universal | Glúteo/Posterior,Posterior / Quadril
aluno_4_pedro_emagrecimento_homegym,,masculino,emagrecimento,iniciante,Full Body (3x),Dia C - Legs (Inferiores),Agachamento goblet,quadríceps,halter,3,12-15,30-60s,7-8,Base Universal,Frente da Coxa / Joelho
aluno_4_pedro_emagrecimento_homegym,,masculino,emagrecimento,iniciante,Full Body (3x),Dia C - Legs (Inferiores),Afundo com halteres,quadríceps,halter,3,12-15,30-60s,7-8,Base Universal | Estabilidade/Prevenção,Frente da Coxa / Joelho
aluno_4_pedro_emagrecimento_homegym,,masculino,emagrecimento,iniciante,Full Body (3x),Dia C - Legs (Inferiores),Ponte de glúteo,glúteo,peso corporal,3,12-15,30-60s,7-8,Glúteo/Posterior,Posterior / Quadril
